char,pinyin,division,code
倉,cang1,𠆢丶⺕丿口,UWPO
倊,zong4,亻八厶心,TTAR
個,ge4,亻囗古,TNJg
個,ge5,亻囗古,TNJg
倌,guan1,亻宀尸コ,TWDD
倍,bei4,亻立口,TYOv
倎,tian3,亻冂龷八,TMHT
倏,shu1,亻丨夂犬,TKVJ
倐,shu1,亻丨夂火,TKVX
們,men5,亻門,TNm
倒,dao3,亻至刂,TFLd
倒,dao4,亻至刂,TFLd
倓,dan4,亻火火,TXXv
倓,tan2,亻火火,TXXv
倓,tan4,亻火火,TXXv
倔,jue2,亻尸屮凵,TDAA
倕,chui2,亻壬龷,TRHu
倕,zhui4,亻壬龷,TRHu
倖,xing4,亻土䒑十,TJXE
倗,peng2,亻月月,TSSv
倗,peng3,亻月月,TSSv
倗,ping2,亻月月,TSSv
倘,tang3,亻⺌冂口,TNMO
候,hou4,亻丨コ矢,TKDP
倚,yi3,亻大丁口,TFEO
倛,qi1,亻其,THq
倛,qi2,亻其,THq
倛,qi4,亻其,THq
倜,ti4,亻⺆土口,TSJO
倝,gan4,十早人,EKUu
倞,jing4,亻亠口小,TYOC
倞,liang4,亻亠口小,TYOC
借,jie4,亻龷日,THKv
倠,sui1,亻隹,TTw
倡,chang4,亻日曰,TKKu
倢,jie2,亻一⺕龰,TGBL
倣,fang3,亻方攵,TYPp
値,zhi2,亻十目𠃊,TENC
倥,kong1,亻穴工,TWIg
倥,kong3,亻穴工,TWIg
倦,juan4,亻丷夫㔾,TXJB
倧,zong1,亻宀示,TWFs
倨,ju4,亻尸古,TDJg
倩,qian4,亻龶⺝,TESv
倪,ni2,亻臼儿,TUVe
倫,lun2,亻人一𠕁,TUGM
倬,zhuo1,亻⺊早,TLKz
倭,wo1,亻禾女,TRCv
倮,luo3,亻日木,TKIv
倯,song1,亻木八厶,TITA
倰,leng4,亻土八夊,TJTV
倰,ling2,亻土八夊,TJTV
倱,hun4,亻日比,TKVb
倲,dong1,亻木日,TIKv
倲,dong4,亻木日,TIKv
倳,zi4,亻{于下}口彐,TIOB
倴,ben1,亻大十廾,TFEH
倴,ben4,亻大十廾,TFEH
倵,wu3,亻一戈止,TGFL
倶,ju1,亻目一八,TNGT
倷,nai3,亻大示,TFFs
倸,cai3,亻爫木,TVIv
倹,jian3,亻𠆢一口人,TUOU
债,zhai4,亻龶贝,TEMb
倻,ye1,亻耳阝,THBv
值,zhi2,亻十{具上},TENq
倽,sha4,亻𠆢干口,TUEO
倾,qing1,亻匕丆贝,TVGM
倿,ning4,亻立女,TYCv
偀,ying1,亻艹冂大,THMF
偁,cheng1,亻爫冂土,TVMJ
偂,jian1,亻䒑⺝刂,TXSL
偃,yan3,亻匚日女,TFKC
偄,ru2,亻而大,TGFd
偄,ruan3,亻而大,TGFd
偅,chong1,亻㇒車一,TPJG
偅,tong2,亻㇒車一,TPJG
偅,zhong4,亻㇒車一,TPJG
偆,chun3,亻一夫日,TGJK
假,jia3,亻尸二コ又,TDDD
假,jia4,亻尸二コ又,TDDD
偈,ji4,亻日勹人𠃊,TKUC
偈,jie2,亻日勹人𠃊,TKUC
偉,wei3,亻韋,TDw
偊,yu3,亻㇒虫冂,TPLM
偋,bing3,亻尸䒑廾,TDXH
偋,bing4,亻尸䒑廾,TDXH
偌,ruo4,亻艹𠂇口,THHO
偍,ti2,亻日一龰,TKGL
偎,wei1,亻田{畏下},TKFu
偏,pian1,亻户𠕁,TZMu
偐,yan4,亻立⼃彡,TYPS
偑,feng1,亻風,TQf
偒,dang4,亻日一⼓{两撇},TKSS
偒,tang3,亻日一⼓{两撇},TKSS
偓,wo4,亻尸至,TDFz
偔,e4,亻口口一丂,TOGE
偕,jie1,亻比白,TVUb
偕,xie2,亻比白,TVUb
偖,che3,亻耂日,TJKv
偗,sheng3,亻𡭔㇒目,TCPN
偘,kan3,亻口口口,TOOO
偙,di4,亻亠丷冖巾,TYQM
做,zuo4,亻古攵,TJPp
偛,cha1,亻千臼,TRUj
停,ting2,亻亠口冖丁,TYQE
偝,bei4,亻丬匕⺝,TXVS
偞,xie4,亻世木,THIv
偞,ye4,亻世木,THIv
偞,zha2,亻世木,THIv
偟,huang2,亻白王,TUEv
偠,yao3,亻覀女,TECv
偡,zhan4,亻其𠃊,THCu
偢,chou3,亻禾火,TRXv
偣,yan1,亻音,TYn
偤,you2,亻丷酉,TXEy
健,jian4,亻⺕キ廴,TBFB
偦,xu1,亻乛龰⺝,TBLS
偦,xu3,亻乛龰⺝,TBLS
偧,zha1,亻大夕夕,TFQQ
偨,ci1,亻止匕木,TLVI
偩,fu4,亻⺈貝,TQNb
偪,bi1,亻一口田,TGOK
